Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	344
	Source Height	496
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	CC Power Pin #1	Top Left #2
	Frame	X pixels	Y pixels	
	354	199.408	87.7629	
	355	199.557	84.7205	
	356	200.363	81.3202	
	357	202.523	78.3653	
	358	205.943	75.591	
	359	209.918	72.574	
	360	213.661	69.4006	
	361	216.536	67.8946	
	362	218.027	67.882	
	363	217.411	69.6328	
	364	214.631	72.8589	
	365	210.399	76.5452	
	366	205.981	80.1616	
	367	201.463	83.6988	
	368	197.024	87.3727	
	369	193.137	89.0109	
	370	188.913	89.7404	
	371	184.828	90.3591	
	372	181.462	90.5893	
	373	179.446	91.5461	
	374	178.237	93.3116	
	375	176.962	95.1775	
	376	174.995	96.6	
	377	174.121	98.1224	
	378	174.024	99.0563	
	379	172.534	99.9268	
	380	170.229	100.244	
	381	167.97	100.652	
	382	165.673	100.821	
	383	163.416	100.833	
	384	161.927	100.422	
	385	161.638	100.12	
	386	162.526	99.5548	
	387	164.243	98.7392	
	388	165.901	97.6393	
	389	167.621	96.3517	
	390	168.51	96.1254	
	391	168.504	96.8082	
	392	167.604	97.9733	
	393	165.776	99.6748	
	394	163.299	101.44	
	395	161.105	103	
	396	159.033	103.674	
	397	157.925	103.962	
	398	157.878	103.816	
	399	158.563	103.476	
	400	159.551	102.562	
	401	160.969	101.373	
	402	163.13	99.8749	
	403	165.749	98.5305	
	404	168.34	97.2667	
	405	169.99	96.127	
	406	171.434	95.1655	
	407	173.447	94.0787	
	408	175.738	93.0979	
	409	178.246	92.0678	
	410	180.631	90.8204	
	411	182.939	89.5269	
	412	185.317	88.8137	
	413	187.717	88.369	
	414	190.243	87.9906	
	415	192.825	87.6986	
	416	195.61	87.1553	
	417	198.424	86.5509	
	418	201.111	85.7707	
	419	203.34	85.0256	
	420	205.315	84.4175	
	421	206.879	83.8731	
	422	208.165	83.4478	
	423	209.176	83.169	
	424	210.211	82.8979	
	425	210.868	82.6697	
	426	211.411	82.6603	
	427	211.563	82.7928	
	428	211.823	82.9243	
	429	211.72	83.1498	
	430	211.477	83.3136	
	431	210.88	83.3122	
	432	210.181	83.0816	
	433	209.411	82.6455	
	434	208.531	82.1851	
	435	207.86	81.4699	
	436	207.383	80.9	
	437	207.216	80.4859	
	438	207.383	80.6868	
	439	207.809	81.5217	
	440	208.424	82.6635	
	441	209.456	84.1066	
	442	211.168	85.6853	
	443	213.646	87.576	
	444	216.31	89.5753	
	445	219.258	92.007	
	446	221.642	94.6799	
	447	223.841	97.9838	
	448	225.531	102.253	
	449	226.705	107.151	
