Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	344
	Source Height	496
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	CC Power Pin #1	Top Left #2
	Frame	X pixels	Y pixels	
	237	380.532	53.4602	
	238	380.722	54.4658	
	239	380.971	55.5465	
	240	381.14	56.6702	
	241	380.891	57.8579	
	242	380.242	59.0412	
	243	379.332	60.1846	
	244	378.056	61.2569	
	245	376.536	62.5577	
	246	374.641	64.1336	
	247	372.466	65.673	
	248	369.929	67.3051	
	249	367.724	68.9761	
	250	366.127	70.5041	
	251	365.178	71.9118	
	252	364.988	73.4097	
	253	365.422	74.8717	
	254	366.108	76.2081	
	255	367.449	77.5942	
	256	369.022	78.9319	
	257	370.755	80.2913	
	258	372.505	81.604	
	259	373.755	82.9217	
	260	374.492	84.1535	
	261	374.706	85.3704	
	262	375.145	86.8141	
	263	375.914	88.3181	
	264	376.601	89.4558	
	265	377.069	90.7288	
	266	377.51	91.8843	
	267	378.043	92.911	
	268	378.478	93.9833	
	269	378.841	94.8922	
	270	379.277	95.6445	
	271	379.813	96.4205	
	272	380.928	97.3199	
	273	382.293	98.1658	
	274	383.6	98.8875	
	275	384.845	99.4908	
	276	385.771	99.9985	
	277	386.586	100.442	
	278	387.478	100.78	
	279	388.459	101.13	
	280	389.481	101.207	
	281	390.515	101.279	
	282	391.46	101.298	
	283	392.136	101.354	
	284	392.405	101.228	
	285	392.068	100.934	
	286	390.977	100.47	
	287	389.304	99.804	
	288	387.262	99.0487	
	289	384.995	98.1877	
	290	383.064	97.2868	
	291	382.167	96.6291	
	292	382.677	96.4945	
	293	383.886	96.8155	
	294	385.354	97.6872	
	295	386.703	98.6519	
	296	387.593	99.4685	
	297	387.868	99.9322	
	298	387.684	99.982	
	299	387.247	99.7346	
	300	387.094	99.7434	
	301	387.314	100.115	
	302	388.106	101.063	
	303	389.897	102.387	
	304	392.206	103.586	
	305	394.65	104.188	
	306	396.743	103.994	
	307	398.333	102.798	
	308	399.286	100.951	
	309	399.474	98.8979	
	310	399.188	96.8646	
	311	398.431	94.9197	
	312	397.508	93.2509	
	313	396.309	91.9788	
	314	395.23	91.1816	
	315	394.408	90.8498	
	316	393.762	91.0194	
	317	393.327	91.3566	
	318	393.103	91.8758	
	319	392.88	92.6165	
	320	392.926	93.4823	
	321	393.029	94.3618	
	322	393.306	95.0723	
	323	393.705	95.6971	
	324	394.208	96.0865	
	325	394.787	96.3492	
	326	395.367	96.5085	
	327	395.744	96.551	
	328	395.835	96.5566	
	329	395.647	96.4481	
	330	395.201	96.299	
	331	394.435	96.2577	
	332	393.444	96.1524	
	333	392.231	96.1204	
	334	391.15	95.9586	
	335	389.957	95.6875	
	336	388.932	95.5434	
	337	388.173	95.4754	
	338	387.648	95.6564	
	339	387.359	95.9492	
	340	387.36	96.4568	
	341	387.657	97.2954	
	342	387.951	98.2953	
	343	388.525	99.3451	
	344	389.339	100.64	
	345	390.266	102.196	
	346	391.67	104.006	
	347	393.238	105.566	
	348	395.111	107.059	
	349	397.167	108.188	
	350	398.691	108.095	
	351	399.687	107.095	
	352	400.115	105.135	
	353	399.984	101.645	
	354	399.672	97.3289	
	355	399.808	92.6777	
	356	400.455	87.8788	
	357	403.619	85.4704	
	358	407.871	84.2223	
	359	412.602	82.9334	
	360	417.008	81.6669	
	361	418.711	80.8147	
	362	419.161	81.1158	
	363	418.319	82.105	
	364	415.861	82.936	
	365	412.084	83.2869	
	366	408.074	83.5404	
	367	403.587	84.1882	
	368	399.001	85.6158	
	369	394.704	85.6608	
	370	390.241	84.0555	
	371	386.236	81.3997	
	372	382.663	78.7459	
	373	380.084	78.8023	
	374	378.297	81.2682	
	375	376.332	83.3563	
	376	374.082	82.8142	
	377	372.511	84.2378	
	378	372.393	87.817	
	379	371.272	88.5696	
	380	369.449	87.8715	
	381	367.571	87.6819	
	382	365.721	87.0537	
	383	363.695	86.1182	
	384	362.603	85.8044	
	385	362.223	85.7427	
	386	363.208	86.2483	
	387	364.757	86.9646	
	388	366.643	87.6588	
	389	368.344	88.1658	
	390	369.668	88.6308	
	391	370.277	89.2941	
	392	369.849	90.1773	
	393	368.4	91.0935	
	394	366.652	92.0288	
	395	364.981	92.7547	
	396	363.606	92.9249	
	397	362.937	93.2243	
	398	363.215	94.0457	
	399	364.031	95.0294	
	400	365.152	95.4173	
	401	366.641	95.6223	
	402	368.734	96.2763	
	403	371.338	97.48	
	404	373.945	98.2021	
	405	375.905	97.8083	
	406	377.654	96.8436	
	407	379.927	96.3755	
	408	382.402	96.3387	
	409	385.102	96.4127	
	410	387.685	96.2713	
	411	390.084	95.8637	
	412	392.281	95.6038	
	413	394.364	95.6609	
	414	396.584	95.758	
	415	398.781	96.2921	
	416	401.194	96.8437	
	417	403.616	97.3498	
	418	405.909	97.5516	
	419	407.988	97.3628	
	420	409.664	97.0775	
	421	411.172	96.5774	
	422	412.336	96.0457	
	423	413.309	95.711	
	424	414.199	95.3004	
	425	415.031	95.0424	
	426	415.588	94.9338	
	427	415.873	94.8693	
	428	416.061	94.7035	
	429	416.201	94.5462	
	430	415.993	94.2199	
	431	415.499	93.5302	
	432	414.905	92.4321	
	433	414.12	90.9969	
	434	413.37	89.2986	
	435	412.633	87.5389	
	436	412.009	86.186	
	437	411.752	85.349	
	438	411.747	85.1814	
	439	412.048	85.7689	
	440	412.6	86.6493	
	441	413.615	88.0912	
	442	415.128	90.1748	
	443	417.275	92.9716	
	444	419.741	95.8811	
	445	218.289	86.4938	
	446	218.524	86.0642	
	447	218.757	85.6375	
	448	218.992	85.2071	
	449	218.059	84.7777	
	450	217.127	84.3491	
	451	216.198	83.9216	
	452	215.266	83.4928	
	453	213.76	82.8941	
	454	212.257	82.2965	
	455	212.153	81.6995	
	456	212.049	81.1013	
	457	211.946	80.5089	
	458	211.842	79.9084	
	459	211.738	79.3112	
	460	211.487	78.9661	
	461	211.238	78.6243	
	462	210.987	78.2794	
	463	210.739	77.9374	
	464	210.491	77.5971	
	465	210.241	77.2544	
	466	209.989	76.908	
	467	209.74	76.5647	
	468	209.489	76.2206	
	469	208.44	75.7659	
	470	207.387	75.309	
	471	206.339	74.855	
	472	205.294	74.4019	
	473	204.245	73.9471	
	474	412.43	123.978	
	475	410.402	122.242	
	476	408.231	119.931	
	477	406	117.379	
	478	404.088	115.091	
	479	402.95	114.325	
	480	402.494	114.291	
	481	402.071	113.389	
	482	401.278	111.613	
	483	399.513	109.545	
	484	396.971	107.025	
	485	394.124	104.15	
	486	391.069	101.219	
	487	388.302	98.6524	
	488	386.125	96.4113	
	489	384.512	94.197	
	490	383.377	91.4781	
	491	382.729	88.4902	
	492	382.583	85.4653	
	493	382.748	82.7441	
	494	382.683	80.288	
	495	381.923	77.6717	
	496	380.73	75.2648	
	497	379.882	73.198	
	498	379.62	71.2999	
	499	380.067	69.8645	
	500	380.948	69.1086	
	501	381.787	68.578	
	502	382.4	67.7032	
	503	382.758	66.5737	
	504	382.926	65.1788	
	505	382.887	63.8244	
	506	382.263	62.2877	
	507	381.076	60.774	
	508	379.315	59.4477	
	509	377.352	58.4596	
	510	374.932	58.0164	
	511	372.401	57.9159	
	512	369.953	58.1915	
	513	367.928	58.5981	
	514	367.359	59.1471	
	515	367.666	59.671	
	516	368.052	59.8471	
	517	369.038	60.2394	
	518	370.261	60.4356	
	519	371.452	60.7307	
	520	372.372	60.4831	
	521	372.797	59.9604	
	522	373.482	59.7026	
	523	375.009	59.8092	
	524	377.263	59.9064	
	525	380.161	60.2522	
	526	383.488	60.6688	
	527	386.414	61.0551	
	528	389.074	61.6093	
	529	391.135	62.5264	
	530	392.696	63.8528	
	531	393.754	65.211	
	532	394.676	66.4471	
	533	395.538	67.4172	
	534	396.28	67.9398	
	535	396.148	67.7642	
	536	395.153	67.2271	
	537	393.422	66.3773	
	538	391.826	65.6542	
	539	390.219	64.9181	
	540	388.515	64.2739	
	541	386.992	63.9269	
	542	385.938	63.8098	
	543	384.814	63.7893	
	544	383.447	63.8142	
	545	382.017	63.9413	
	546	380.452	64.1245	
	547	378.905	64.3715	
	548	377.444	64.9064	
	549	376.538	65.5856	
	550	375.845	66.2651	
	551	375.303	66.8261	
	552	374.996	67.483	
	553	374.721	67.9997	
	554	374.31	68.4784	
	555	373.726	68.6259	
	556	372.986	68.595	
	557	372.301	68.5438	
	558	371.231	68.4753	
	559	370.133	68.5498	
	560	368.941	68.8487	
	561	367.816	69.2259	
	562	366.711	69.6688	
	563	365.653	70.0484	
	564	364.883	70.435	
	565	364.217	70.7532	
	566	363.767	71.0114	
	567	363.34	71.1508	
	568	363.082	71.2577	
	569	362.994	71.3634	
	570	362.865	71.1294	
	571	362.448	70.6051	
	572	361.883	70.0921	
	573	361.719	69.6621	
	574	361.736	69.1257	
	575	362.202	68.5752	
	576	362.776	67.9193	
	577	363.289	67.1708	
	578	363.676	66.2896	
	579	363.805	65.4227	
	580	363.698	64.5518	
	581	363.84	63.7025	
	582	364.054	62.9389	
	583	364.526	62.1056	
	584	364.999	61.423	
	585	365.396	60.7889	
	586	365.849	60.2674	
	587	366.303	60.014	
	588	366.909	59.8169	
	589	367.602	59.9125	
	590	368.214	60.1983	
	591	368.557	60.6005	
	592	368.763	61.1555	
	593	368.728	61.7572	
	594	368.625	62.5455	
	595	368.481	63.3465	
	596	368.524	64.2699	
	597	368.63	65.2371	
	598	368.971	66.2716	
	599	369.434	67.2939	
	600	369.958	68.3716	
	601	370.471	69.4141	
	602	370.788	70.1245	
	603	370.976	70.7965	
	604	371.086	71.2399	
	605	370.963	71.5049	
	606	370.741	71.7744	
	607	370.43	71.9454	
	608	370.054	72.0083	
